url,source_urls,alias_count,source_file,source_sha256,source_bytes,markdown_file,markdown_bytes,markdown_sha256,engine,engine_version,detected_format,ocr,pages,characters,nonspace_characters,lines,headings,table_rows,replacement_characters,empty_pages,low_text,status,error,seconds
https://www.centralbank.ie/docs/default-source/financial-system/financial-stability/macroprudential-policy/countercyclical-capital-buffer/ccyb-rate-announcement-june-2017.pdf,https://www.centralbank.ie/docs/default-source/financial-system/financial-stability/macroprudential-policy/countercyclical-capital-buffer/ccyb-rate-announcement-june-2017.pdf,1,files\www.centralbank.ie\_long\b1d86f723de4f7e3bd3af502\ccyb-rate-announcement-june-2017__u-b1d86f723de4.pdf,1371a580d9f9569e5fbbfa37fcbc1ecf68115d4f72fb761c19753824a34d0f07,35071,markdown\13\71\1371a580d9f9569e5fbbfa37fcbc1ecf68115d4f72fb761c19753824a34d0f07.md,3713,66dbe769562a93d823990562e3be8efef28e0bd28e4bc4f6d2d95e004329b6c5,markitdown,0.1.7,docx_mislabeled_as_pdf,False,1,2706,2245,30,5,8,0,0,False,success,,1.563
https://www.centralbank.ie/docs/default-source/regulation/central-bank-portal/1001-request-changes-available-by-regulated-institution-classification.pdf,https://www.centralbank.ie/docs/default-source/regulation/central-bank-portal/1001-request-changes-available-by-regulated-institution-classification.pdf,1,files\www.centralbank.ie\_long\d0d351846165713a18846b30\1001-request-changes-available-by-regulated-institution-class.pdf,6d106f8c7c21455e087bc6ebb2f7116e087a7a917da2b3af898044ff510e7966,66282,markdown\6d\10\6d106f8c7c21455e087bc6ebb2f7116e087a7a917da2b3af898044ff510e7966.md,19603,892151889dfc7108f5eebcf925dab0babe19f355ac80a8c9eb35503ba2f89950,markitdown,0.1.7,docx_mislabeled_as_pdf,False,1,18619,15167,473,1,413,0,0,False,success,,1.266
https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/reporting-requirements/gns-4-4-10-1-5-certificate-of-compliance.pdf?sfvrsn=fafcd11d_4,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/reporting-requirements/gns-4-4-10-1-5-certificate-of-compliance.pdf?sfvrsn=fafcd11d_4,1,files\www.centralbank.ie\_long\b2488b889c4252c1b1253a8a\gns-4-4-10-1-5-certificate-of-compliance__q-83cdd5bc45__u-b24.pdf,36334223661edfb000bec494f2c264e8fe44218a08b15e04baa06a640b6ea4b4,49082,markdown\36\33\36334223661edfb000bec494f2c264e8fe44218a08b15e04baa06a640b6ea4b4.md,6965,018007cfec7f608b60a27d375e2f8b6b4aa40c0969333039de9682b4bd79bc7b,markitdown,0.1.7,docx_mislabeled_as_pdf,False,1,5889,4882,107,11,0,0,0,False,success,,0.265
