year,published_fraudulent_payment_value_eur_million,published_fraudulent_payment_volume_thousand,published_final_loss_eur_million,public_csv_known_component_sum_eur_million,public_csv_suppressed_component_half_year_cells,public_csv_TOTL1_ex_cash_eur_million,public_csv_TOTL_all_half_year_cells_suppressed,component_sum_minus_TOTL1_eur_million,headline_source,headline_pages,interpretation
2023,129.0,579.0,64.4,118.37577366,4,82.33737287,2,36.03840079,https://www.centralbank.ie/docs/default-source/statistics/data-and-analysis/payment-fraud-statistics/payment-fraud-statistics-202485f0d58e-4a6d-4a27-aed4-03717c7bdcd7.pdf?sfvrsn=3a96e1a_1,1 and 8-9,Fraudulent payment value and final booked loss are distinct measures. Confidential cells and non-additive public aggregates prevent reconstruction of the headline total from this CSV.
2024,160.0,815.0,66.4,113.08983771,6,105.02202631,2,8.0678114,https://www.centralbank.ie/docs/default-source/statistics/data-and-analysis/payment-fraud-statistics/payment-fraud-statistics-202485f0d58e-4a6d-4a27-aed4-03717c7bdcd7.pdf?sfvrsn=3a96e1a_1,1 and 8-9,Fraudulent payment value and final booked loss are distinct measures. Confidential cells and non-additive public aggregates prevent reconstruction of the headline total from this CSV.
