sha256,format,bytes,source,dataset_title,resource_name,local_path,canonical_url,url_alias_count,all_urls,referrers
25b832c1f976bdb7ed18c139300bb1ef5ad33e7c3a9ecd7bf47b6fbaf2d87a88,CSV,863,documents,,,files\www.centralbank.ie\_long\a30743fb7bd0667155031dc5\figure-2__q-2dc706bd94__u-a30743fb7bd0.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-2.csv?sfvrsn=3e3d681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-2.csv?sfvrsn=3e3d681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
31e832b15bf7a8a9279067796b544382f07e2996cfa984d74e7415f057d2bbef,CSV,525,documents,,,files\www.centralbank.ie\_long\f8f96bead86dcdad1beae315\figure-20__q-ea69a8a431__u-f8f96bead86d.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-20.csv?sfvrsn=ce3d681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-20.csv?sfvrsn=ce3d681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
18d6a33fe28022851c8a54dbcef3e16125917ef1853f1ca9b2266b1533b2fe52,CSV,783,documents,,,files\www.centralbank.ie\_long\97c1d968e188b39dac5fc242\figure-21__q-9c752365b6__u-97c1d968e188.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-21.csv?sfvrsn=123d681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-21.csv?sfvrsn=123d681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
b58513e02ba92dfea8569a2bc78cf247b237f81aca54efdddf94f559f1b371b0,CSV,424,documents,,,files\www.centralbank.ie\_long\1487e2e55d921daec4fa5280\figure-22__q-24208ff71d__u-1487e2e55d92.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-22.csv?sfvrsn=e73d681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-22.csv?sfvrsn=e73d681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
75c8567668b2ff27b9c21966d5b1949dacc8f523611532658a97e01d3794cd19,CSV,118,documents,,,files\www.centralbank.ie\_long\4b8da5764e5c98b58dd7a7e4\figure-23__q-d559144ec0__u-4b8da5764e5c.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-23.csv?sfvrsn=ed3d681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-23.csv?sfvrsn=ed3d681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
c074f93445f095cda1ea76f81a4bfde8bce9783541f1aa6865cc205e9840e936,CSV,121,documents,,,files\www.centralbank.ie\_long\5aad2c326382f6f251aec34d\figure-24__q-3e1e8f44cd__u-5aad2c326382.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-24.csv?sfvrsn=f73d681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-24.csv?sfvrsn=f73d681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
be1bf3d5fa60db05848ecb9d7af68c3040c2538ba2809b1443beb7b3463e20d9,CSV,124,documents,,,files\www.centralbank.ie\_long\8cbee946d7793464d667719b\figure-25__q-71fd910b1d__u-8cbee946d779.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-25.csv?sfvrsn=3e3c681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-25.csv?sfvrsn=3e3c681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
d7bb16e031e15caf17cd1349d391701fbc4efb70a9f28f9afdbaa40efe71d9bf,CSV,1631,documents,,,files\www.centralbank.ie\_long\e3a35b46a219678da4449b15\figure-3__q-c96d63103b__u-e3a35b46a219.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-3.csv?sfvrsn=943d681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-3.csv?sfvrsn=943d681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
9f88b78eacd46a1db5ed34b9e64b7c69e4647e3b7bb1186d120860d3d9b10a2c,CSV,3562,documents,,,files\www.centralbank.ie\_long\366a7aed77139208c475eae6\figure-4__q-dfbbc5ae9d__u-366a7aed7713.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-4.csv?sfvrsn=383c681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-4.csv?sfvrsn=383c681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
845e68d2c8e6d5c58edcba70aff92833158dd709de23f72b802eea0068301e85,CSV,563,documents,,,files\www.centralbank.ie\_long\3b01b57a89b6181ef79edfb8\figure-5__q-f768864856__u-3b01b57a89b6.csv,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-5.csv?sfvrsn=bf3d681a_1,1,https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-2-2025/figure-5.csv?sfvrsn=bf3d681a_1,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2025
