url,source_urls,alias_count,source_file,source_sha256,source_bytes,format,pipeline_version,markdown_file,markdown_bytes,markdown_sha256,engine,page_basis,pages,characters,nonspace_characters,lines,replacement_characters,empty_pages,low_text,max_page_characters,repeated_line_share,source_text_characters,output_expansion_ratio,status,error,format_mismatch
https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/brokers-retail-intermediaries/authorisation-process/freedom-of-services-form-cmcar.docx,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/brokers-retail-intermediaries/authorisation-process/freedom-of-services-form-cmcar.docx,1,files/www.centralbank.ie/_long/8f78fe50216c784c08ec6975/freedom-of-services-form-cmcar__u-8f78fe50216c.docx,7cdb9dd2399656ef1631c90b8f981bad353ba50d6a379137d60e5f409bc2a9d5,861004,DOCX,office-0.3.0,markdown/7c/db/7cdb9dd2399656ef1631c90b8f981bad353ba50d6a379137d60e5f409bc2a9d5.md,2930,5c252d316ecd7083df492e1c40ff9cce176fef004ccc9159eb9a494cfa68cfd6,ooxml-body-order 1.0,single-pseudo-page,1,1814,1502,19,0,0,False,1814,0.0,1659,1.0934,success,,
https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/payment-institutions/forms/acquiring-transaction-notification-form.docx,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/payment-institutions/forms/acquiring-transaction-notification-form.docx | https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/payment-institutions/forms/acquiring-transaction-notification-form.docx?sfvrsn=8323a51d_27,2,files/www.centralbank.ie/_long/fe7decef67028a7e129866c2/acquiring-transaction-notification-form__u-fe7decef6702.docx,fe518b5e58c10eeb2da4a6d29569ed62ad3669291154847c7d88d0ab2cf9521b,266928,DOCX,office-0.3.0,markdown/fe/51/fe518b5e58c10eeb2da4a6d29569ed62ad3669291154847c7d88d0ab2cf9521b.md,25298,9cdc9699e3c0bb23496bea9d9b6328403460e4372bda9dccd50351f7534e8be6,ooxml-body-order 1.0,explicit-page-break,15,23371,19167,315,0,0,False,3755,0.0515,22657,1.0309,success,,
https://www.centralbank.ie/docs/default-source/financial-system/target-2/gns-2-2-3targetcompform.doc?sfvrsn=4,https://www.centralbank.ie/docs/default-source/financial-system/target-2/gns-2-2-3targetcompform.doc?sfvrsn=4,1,files/www.centralbank.ie/_long/c73f27da345e3111aca8bf4b/gns-2-2-3targetcompform__q-dd2b33c369__u-c73f27da345e.doc,82fc3baccb663ea49666abed3177c37e8ac2300dabcb19651847cd9e7d4e8eae,53056,DOC,office-0.3.0,markdown/82/fc/82fc3baccb663ea49666abed3177c37e8ac2300dabcb19651847cd9e7d4e8eae.md,8557,3e7e42895462ccac71ef666d87fee16fc9edaff1e2f88c6085a2d700681ad507,ooxml-body-order 1.0,explicit-page-break,4,7431,5399,148,0,0,False,2813,0.0148,5762,1.2891,success,,declared=DOC detected=DOCX
https://www.centralbank.ie/docs/default-source/financial-system/target-2/target-ireland---terms-and-conditions-template-termination-notice.doc?sfvrsn=2ce19d1d_4,https://www.centralbank.ie/docs/default-source/financial-system/target-2/target-ireland---terms-and-conditions-template-termination-notice.doc?sfvrsn=2ce19d1d_4,1,files\www.centralbank.ie\_long\af00bb4ad5b7d3b1781bf0a6\target-ireland---terms-and-conditions-template-termination-no.doc,87e271c28dae755722f98b5998dfff94addf3230cdf62557540e3b4405f8e9fa,76288,DOC,,markdown/87/e2/87e271c28dae755722f98b5998dfff94addf3230cdf62557540e3b4405f8e9fa.md,2604,3521a74cc8d13242f43605673fe3de60f27b0edf1783558e65f9c2eed1c59160,libreoffice-headless version-unrecorded-pre-v5.2,single-pseudo-page,1,1466,1239,26,0,0,False,,,,,success,,
https://www.centralbank.ie/docs/default-source/monetary-policy/policy-implementation/collateral-framework/abs-application-form.docx,https://www.centralbank.ie/docs/default-source/monetary-policy/policy-implementation/collateral-framework/abs-application-form.docx,1,files/www.centralbank.ie/_long/e8ab7de574e65f97828ecd44/abs-application-form__u-e8ab7de574e6.docx,788480883ff8b617644eeb0621f66fc2badf0de0dc6df6c22716c254e882c8ad,135018,DOCX,office-0.3.0,markdown/78/84/788480883ff8b617644eeb0621f66fc2badf0de0dc6df6c22716c254e882c8ad.md,56969,5074ee2a591780f4dc9d2e64deeb70c8641ab4c490640377046035538733f774,ooxml-body-order 1.0,explicit-page-break,5,55506,46100,275,0,0,False,24270,0.0021,53222,1.0428,success,,
https://www.centralbank.ie/docs/default-source/news-and-media/speeches/200611-mni-roundtable-slides-governor-makhlouf.pptx,https://www.centralbank.ie/docs/default-source/news-and-media/speeches/200611-mni-roundtable-slides-governor-makhlouf.pptx,1,files\www.centralbank.ie\_long\5c33b3c8ebf17ca47a70ab76\200611-mni-roundtable-slides-governor-makhlouf__u-5c33b3c8eb.pptx,51b5cad37538961f35ac6de24c7732b0ad6d639a4914d1f962a19b81deaf76f0,2514998,PPTX,,markdown/51/b5/51b5cad37538961f35ac6de24c7732b0ad6d639a4914d1f962a19b81deaf76f0.md,3949,28350da516dd24b8e8b469271ea9ec3cca967c40eee4092c298577b59244c3be,python-pptx,slide,11,2538,2110,73,0,0,False,,,,,success,,
https://www.centralbank.ie/docs/default-source/regulation/amld-/ml-tf-risk-evaluation-questionnaire/casp-files-v1-0.zip?sfvrsn=48d76d1a_3,https://www.centralbank.ie/docs/default-source/regulation/amld-/ml-tf-risk-evaluation-questionnaire/casp-files-v1-0.zip?sfvrsn=48d76d1a_3,1,files\www.centralbank.ie\_long\4ca776fbf3cdada5740ee84f\casp-files-v1-0__q-f2261205a9__u-4ca776fbf3cd.zip,b3102d4ada3fc4b83355b9b3cd4d47c40bde529c19361187ce3c8f8b2c20cd5f,3168111,ZIP,,markdown/b3/10/b3102d4ada3fc4b83355b9b3cd4d47c40bde529c19361187ce3c8f8b2c20cd5f.md,148527,3482be2ef43041ec3e59a371887d2a06d547cab6675c79f94ff4ea8d5bcc53d2,zipfile-profile,archive-member,3,80983,77346,2072,31878,0,False,,,,,success,,
https://www.centralbank.ie/docs/default-source/regulation/amld-/ml-tf-risk-evaluation-questionnaire/credit-institution-files.zip?sfvrsn=acf6c1a_10,https://www.centralbank.ie/docs/default-source/regulation/amld-/ml-tf-risk-evaluation-questionnaire/credit-institution-files.zip?sfvrsn=acf6c1a_10,1,files\www.centralbank.ie\_long\06be1e7093d292e235ba7f2f\credit-institution-files__q-3ffbb69235__u-06be1e7093d2.zip,31d6d6a947c1273cbcd81a08c679b33c5686c3b69a1085552ff6702d5601d8bc,8654586,ZIP,,markdown/31/d6/31d6d6a947c1273cbcd81a08c679b33c5686c3b69a1085552ff6702d5601d8bc.md,151554,54a96c8220f16a4c3b39b4fae5c80b01c666b82891a1e5b27baab56999efdf36,zipfile-profile,archive-member,3,81536,77885,2329,32988,0,False,,,,,success,,
https://www.centralbank.ie/docs/default-source/regulation/amld-/ml-tf-risk-evaluation-questionnaire/credit-union-files-v1-0.zip?sfvrsn=bf7a721a_4,https://www.centralbank.ie/docs/default-source/regulation/amld-/ml-tf-risk-evaluation-questionnaire/credit-union-files-v1-0.zip?sfvrsn=bf7a721a_4,1,files\www.centralbank.ie\_long\9de4e779644fe9c84ef7230e\credit-union-files-v1-0__q-59942794b8__u-9de4e779644f.zip,d1aae6a89696f0f9fe0928a27a6eb727a0465ba92f714c4e01dee8c74db99348,8393152,ZIP,,markdown/d1/aa/d1aae6a89696f0f9fe0928a27a6eb727a0465ba92f714c4e01dee8c74db99348.md,150234,6b2fb2dd6753a91b328a0abde516cf5729698a4cab4a6ab55d449a31da858ee8,zipfile-profile,archive-member,3,81132,77412,2533,32620,0,False,,,,,success,,
https://www.centralbank.ie/docs/default-source/regulation/amld-/ml-tf-risk-evaluation-questionnaire/fund-depositaries-files-v1-0.zip?sfvrsn=118d711a_1,https://www.centralbank.ie/docs/default-source/regulation/amld-/ml-tf-risk-evaluation-questionnaire/fund-depositaries-files-v1-0.zip?sfvrsn=118d711a_1,1,files\www.centralbank.ie\_long\57dbe758f7d1eac86f7ca5c7\fund-depositaries-files-v1-0__q-00cd073e86__u-57dbe758f7d1.zip,dccf363af8aaa00ad1302ae9650ee1c884964797fd0140cdebd274c2f6aca31e,1257244,ZIP,,markdown/dc/cf/dccf363af8aaa00ad1302ae9650ee1c884964797fd0140cdebd274c2f6aca31e.md,147023,183e42a54ec098e7d3e433b8d6c40605b0e8cffe97f5561931810f3461692fc2,zipfile-profile,archive-member,3,79183,75894,2214,31944,0,False,,,,,success,,
