source_sha256,start_page,end_page,authorship,basis
3aa7e0da7d29ce96f2223c1a3bef3f02f432b19fd801e151e59bb939c0a7cb5c,1,5,central-bank,audited-composite-framing
3aa7e0da7d29ce96f2223c1a3bef3f02f432b19fd801e151e59bb939c0a7cb5c,6,114,stakeholder,audited-composite-submissions
